ratedate,reconv3
11966.281,.35087719
11977.035,.36796537
11984.566,.22751323
11994.582,.37295082
12004.563,.31609195
12013.024,.36320755
12027.792,.38053097
12040.116,.3627907
12058.683,.32126697
12068.825,.35897436
12076.551,.37640449
12083.679,.32142857
12093.327,.32286996
12101.342,.4009009
12114.397,.30978261
12129.721,.33628319
12136.527,.38164251
12142.871,.36082474
12152.61,.37007874
12161.451,.30516432
12169.989,.31016043
12180.483,.29186603
12187.681,.29951691
12195.838,.28301887
12202.646,.28571429
12213.247,.28806584
12221.409,.28494624
12228.523,.25225225
12235.498,.25373134
12244.068,.23076923
12250.734,.32188841
12257.167,.26767677
12264.856,.30927835
12273.703,.26694915
12281.859,.21354167
12291.624,.26146789
12302.173,.26442308
12309.089,.30841121
12317.371,.21719457
12324.801,.32653061
